LCID	Locale	AM	PM
0x1	ar	ص	م
0x2	bg	AM	PM
0x3	ca	AM	PM
0x4	zh-Hans	上午	下午
0x5	cs	dop.	odp.
0x6	da	AM	PM
0x7	de	AM	PM
0x8	el	πμ	μμ
0x9	en	AM	PM
0xA	es	AM	PM
0xB	fi	AM	PM
0xC	fr	AM	PM
0xD	he	AM	PM
0xE	hu	de.	du.
0xF	is	AM	PM
0x10	it	AM	PM
0x11	ja	午前	午後
0x12	ko	오전	오후
0x13	nl	AM	PM
0x14	no	AM	PM
0x15	pl	AM	PM
0x16	pt	AM	PM
0x17	rm	AM	PM
0x18	ro	AM	PM
0x19	ru	AM	PM
0x1A	hr	AM	PM
0x1B	sk	AM	PM
0x1C	sq	PD	MD
0x1D	sv	AM	PM
0x1E	th	AM	PM
0x1F	tr	AM	PM
0x20	ur	AM	PM
0x21	id	AM	PM
0x22	uk	AM	PM
0x23	be	AM	PM
0x24	sl	AM	PM
0x25	et	EL	PL
0x26	lv	AM	PM
0x27	lt	AM	PM
0x28	tg	AM	PM
0x29	fa	ق.ظ	ب.ظ
0x2A	vi	SA	CH
0x2B	hy	AM	PM
0x2C	az	AM	PM
0x2D	eu	AM	PM
0x2E	hsb	AM	PM
0x2F	mk	AM	PM
0x30	st	AM	PM
0x31	ts	AM	PM
0x32	tn	AM	PM
0x33	ve	AM	PM
0x34	xh	AM	PM
0x35	zu	AM	PM
0x36	af	AM	PM
0x37	ka	AM	PM
0x38	fo	AM	PM
0x39	hi	पूर्वाह्न	अपराह्न
0x3A	mt	AM	PM
0x3B	se	AM	PM
0x3C	ga	r.n.	i.n.
0x3E	ms	AM	PM
0x3F	kk	AM	PM
0x40	ky	AM	PM
0x41	sw	AM	PM
0x42	tk	AM	PM
0x43	uz	AM	PM
0x44	tt	AM	PM
0x45	bn	পুর্বাহ্ন	অপরাহ্ন
0x46	pa	ਸਵੇਰ	ਸ਼ਾਮ
0x47	gu	પૂર્વ મધ્યાહ્ન	ઉત્તર મધ્યાહ્ન
0x48	or	AM	PM
0x49	ta	காலை	மாலை
0x4A	te	పూర్వాహ్న	అపరాహ్న
0x4B	kn	ಪೂರ್ವಾಹ್ನ	ಅಪರಾಹ್ನ
0x4C	ml	AM	PM
0x4D	as	ৰাতিপু	আবেলি
0x4E	mr	म.पू.	म.नं.
0x4F	sa	पूर्वाह्न	अपराह्न
0x50	mn	AM	PM
0x51	bo	སྔ་དྲོ	ཕྱི་དྲོ
0x52	cy	a.m.	p.m.
0x53	km	ព្រឹក	ល្ងាច
0x54	lo	ເຊົ້າ	ແລງ
0x55	my	AM	PM
0x56	gl	a.m.	p.m.
0x57	kok	म.पू.	म.नं.
0x59	sd	AM	PM
0x5A	syr	ܩ.ܛ	ܒ.ܛ
0x5B	si	පෙ.ව.	ප.ව.
0x5C	chr	AM	PM
0x5D	iu	AM	PM
0x5E	am	ጡዋት	ከሰዓት
0x5F	tzm	AM	PM
0x60	ks	AM	PM
0x61	ne	विहानी	बेलुकी
0x62	fy	AM	PM
0x63	ps	غ.م	غ.و
0x64	fil	AM	PM
0x65	dv	މކ	މފ
0x67	ff	AM	PM
0x68	ha	Safe	Yamma
0x6A	yo	Owuro	Ale
0x6B	quz	a.m.	p.m.
0x6C	nso	AM	PM
0x6D	ba	AM	PM
0x6E	lb	AM	PM
0x6F	kl	AM	PM
0x70	ig	Ututu	Efifie
0x72	om	AM	PM
0x73	ti	AM	PM
0x74	gn	AM	PM
0x75	haw	AM	PM
0x78	ii	ꂵꆪꈌꈐ	ꂵꆪꈌꉈ
0x7A	arn	AM	PM
0x7C	moh	AM	PM
0x7E	br	AM	PM
0x80	ug	چۈشتىنبۇرۇن	چۈشتىنكېيىن
0x81	mi	a.m.	p.m.
0x82	oc	AM	PM
0x83	co	AM	PM
0x84	gsw	AM	PM
0x85	sah	AM	PM
0x86	qut	a.m.	p.m.
0x87	rw	saamoyaz.m.	saamoyaz.n.
0x88	wo	AM	PM
0x8C	prs	غ.م	غ.و
0x91	gd	m	f
0x92	ku	AM	PM
0x401	ar-SA	ص	م
0x402	bg-BG	AM	PM
0x403	ca-ES	AM	PM
0x404	zh-TW	上午	下午
0x405	cs-CZ	dop.	odp.
0x406	da-DK	AM	PM
0x407	de-DE	AM	PM
0x408	el-GR	πμ	μμ
0x409	en-US	AM	PM
0x40A	es-ES_tradnl	AM	PM
0x40B	fi-FI	AM	PM
0x40C	fr-FR	AM	PM
0x40D	he-IL	AM	PM
0x40E	hu-HU	de.	du.
0x40F	is-IS	AM	PM
