LCID	Locale	Mon Jan	Tue Feb	Wed Mar	Thu Apr	Fri May	Sat Jun	Sun Jul	Mon Aug	Tue Sep	Wed Oct	Thu Nov	Fri Dec
0x45D	iu-Cans_CA	ᓇᒡᒐᔭᐅ,ᓇᒡᒐ,ᔮᓐᓄᐊᕆ,ᔮᓐᓄ,ᔮ	ᐊᐃᑉᐱᖅ,ᐊᐃᑉᐱ,ᕔᕝᕙᐊᕆ,ᕔᕝᕙ,ᕔ	ᐱᖓᑦᓯᖅ,ᐱᖓᑦᓯ,ᒫᑦᓯ,ᒫᑦᓯ,ᒫ	ᓯᑕᒻᒧᖅ,ᓯᑕ,ᐂᐳᕆ,ᐂᐳᕆ,ᐂ	ᑕᓪᓚᒧᖅ,ᑕᓪᓚ,ᒪᐃ,ᒪᐃ,ᒪ	ᓯᕓᑖᕋᕕᒃ,ᓯᕓᑖ,ᔫᓂ,ᔫᓂ,ᔫ	ᓈᑦᑏᖑᔭ,ᓈᑦᑏ,ᔪᓚᐃ,ᔪᓚᐃ,ᔪ	ᓇᒡᒐᔭᐅ,ᓇᒡᒐ,ᐊᒡᒌᓯ,ᐊᒡᒌ,ᐊ	ᐊᐃᑉᐱᖅ,ᐊᐃᑉᐱ,ᓯᑎᐱᑆ,ᓯᑎᐱ,ᓯ	ᐱᖓᑦᓯᖅ,ᐱᖓᑦᓯ,ᐅᑐᐱᑆ,ᐅᑐᐱ,ᐅ	ᓯᑕᒻᒧᖅ,ᓯᑕ,ᓄᕕᐱᑆ,ᓄᕕᐱ,ᓄ	ᑕᓪᓚᒧᖅ,ᑕᓪᓚ,ᑎᓯᐱᑆ,ᑎᓯᐱ,ᑎ
0x1100045E	am-ET	ሰኞ,ሰኞ,ጃንዩወሪ,ጃንዩ,ጃ	ማክሰኞ,ማክሰ,ፌብሩወሪ,ፌብሩ,ፌ	ረቡዕ,ረቡዕ,ማርች,ማርች,ማ	ሐሙስ,ሐሙስ,ኤፕረል,ኤፕረ,ኤ	ዓርብ,ዓርብ,ሜይ,ሜይ,ሜ	ቅዳሜ,ቅዳሜ,ጁን,ጁን,ጁ	እሑድ,እሑድ,ጁላይ,ጁላይ,ጁ	ሰኞ,ሰኞ,ኦገስት,ኦገስ,ኦ	ማክሰኞ,ማክሰ,ሴፕቴምበር,ሴፕቴ,ሴ	ረቡዕ,ረቡዕ,ኦክተውበር,ኦክተ,ኦ	ሐሙስ,ሐሙስ,ኖቬምበር,ኖቬም,ኖ	ዓርብ,ዓርብ,ዲሴምበር,ዲሴም,ዲ
0x460	ks-Arab	الإثنين,الإثنين,يناير,يناير,ي	الثلاثاء,الثلاثاء,فبراير,فبراير,ف	الأربعاء,الأربعاء,مارس,مارس,م	الخميس,الخميس,أبريل,أبريل,أ	الجمعة,الجمعة,مايو,مايو,م	السبت,السبت,يونيو,يونيو,ي	الأحد,الأحد,يوليو,يوليو,ي	الإثنين,الإثنين,أغسطس,أغسطس,أ	الثلاثاء,الثلاثاء,سبتمبر,سبتمبر,س	الأربعاء,الأربعاء,أكتوبر,أكتوبر,أ	الخميس,الخميس,نوفمبر,نوفمبر,ن	الجمعة,الجمعة,ديسمبر,ديسمبر,د
0x461	ne-NP	सोमवार,सोम,जनवरी,जन,ज	मङ्गलवार,मङ्गल,फेब्रुअरी,फेब,फ	बुधवार,बुध,मार्च,मार्च,म	बिहीवार,बिही,अप्रिल,अप्रिल,अ	शुक्रवार,शुक्र,मे,मे,म	शनिवार,शनि,जून,जून,ज	आइतवार,आइत,जुलाई,जुलाई,ज	सोमवार,सोम,अगस्त,अग,अ	मङ्गलवार,मङ्गल,सेप्टेम्बर,सेप्ट,स	बुधवार,बुध,अक्टोबर,अक्ट,अ	बिहीवार,बिही,नोभेम्बर,नोभ,न	शुक्रवार,शुक्र,डिसेम्बर,डिस,ड
0x462	fy-NL	Moandei,Mo,jannewaris,jann,j	Tiisdei,Ti,febrewaris,febr,f	Woansdei,Wo,maart,mrt,m	Tongersdei,To,april,apr,a	Freed,Fr,maaie,maaie,m	Sneon,Sn,juny,jun,j	Snein,Sn,july,jul,j	Moandei,Mo,augustus,aug,a	Tiisdei,Ti,septimber,sept,s	Woansdei,Wo,oktober,okt,o	Tongersdei,To,novimber,nov,n	Freed,Fr,desimber,des,d
0x463	ps-AF	یکشنبه,یکشنبه,جنوری,جنوری,ج	دوشنبه,دوشنبه,فبروری,فبروری,ف	سه‌شنبه,سه‌شنبه,مارچ,مارچ,م	چارشنبه,چارشنبه,اپريل,اپريل,ا	پنجشنبه,پنجشنبه,می,می,م	جمعه,جمعه,جون,جون,ج	شنبه,شنبه,جولای,جولای,ج	یکشنبه,یکشنبه,آگسټ,آگسټ,آ	دوشنبه,دوشنبه,سپټمبر,سپټمبر,س	سه‌شنبه,سه‌شنبه,اکټوبر,اکټوبر,ا	چارشنبه,چارشنبه,نومبر,نومبر,ن	پنجشنبه,پنجشنبه,ډیسمبر,ډیسمبر,ډ
0x464	fil-PH	Lunes,Lun,Enero,En,E	Martes,Mar,Pebrero,Peb,P	Mierkoles,Mier,Marso,Mar,M	Huebes,Hueb,Abril,Abr,A	Biernes,Bier,Mayo,Mayo,M	Sabado,Saba,Hunyo,Hun,H	Linggo,Lin,Hulyo,Hul,H	Lunes,Lun,Agosto,Agos,A	Martes,Mar,Septyembre,Sept,S	Mierkoles,Mier,Oktubre,Okt,O	Huebes,Hueb,Nobyembre,Nob,N	Biernes,Bier,Disyembre,Dis,D
0x465	dv-MV	ހޯމަ,ހޯމަ,ޖަނަވަރީ,ޖަނަވަރީ,ޖ	އަންގާރަ,އަންގާރަ,ފެބްރުއަރީ,ފެބްރުއަރީ,ފ	ބުދަ,ބުދަ,މާޗް,މާޗް,މ	ބުރާސްފަތި,ބުރާސްފަތި,އޭޕްރިލް,އޭޕްރިލް,އ	ހުކުރު,ހުކުރު,މެއި,މެއި,މ	ހޮނިހިރު,ހޮނިހިރު,ޖޫން,ޖޫން,ޖ	އާދީއްތަ,އާދީއްތަ,ޖުލައި,ޖުލައި,ޖ	ހޯމަ,ހޯމަ,އޯގަސްޓް,އޯގަސްޓް,އ	އަންގާރަ,އަންގާރަ,ސެޕްޓެމްބަރ,ސެޕްޓެމްބަރ,ސ	ބުދަ,ބުދަ,އޮކްޓޯބަރ,އޮކްޓޯބަރ,އ	ބުރާސްފަތި,ބުރާސްފަތި,ނޮވެމްބަރ,ނޮވެމްބަރ,ނ	ހުކުރު,ހުކުރު,ޑިސެމްބަރ,ޑިސެމްބަރ,ޑ
0x468	ha-Latn_NG	Litinin,Lit,Januwaru,Jan,J	Talata,Tal,Febreru,Feb,F	Laraba,Lar,Maris,Mar,M	Alhamis,Alh,Afrilu,Afr,A	Juma'a,Jum,Mayu,May,M	Asabar,Asa,Yuni,Yun,Y	Lahadi,Lah,Yuli,Yul,Y	Litinin,Lit,Agusta,Agu,A	Talata,Tal,Satumba,Sat,S	Laraba,Lar,Oktocba,Okt,O	Alhamis,Alh,Nuwamba,Nuw,N	Juma'a,Jum,Disamba,Dis,D
0x46A	yo-NG	Aje,Aje,Osu kinni,kin.,O	Isegun,Ise,Osu keji,kej.,O	Ojo'ru,Ojo,Osu keta,ket.,O	Ojo'bo,Ojo,Osu kerin,ker.,O	Eti,Eti,Osu karun,kar.,O	Abameta,Aba,Osu kefa,kef.,O	Aiku,Aik,Osu keje,kej.,O	Aje,Aje,Osu kejo,kej.,O	Isegun,Ise,Osu kesan,kes.,O	Ojo'ru,Ojo,Osu kewa,kew.,O	Ojo'bo,Ojo,Osu kokanla,kok.,O	Eti,Eti,Osu keresi,ker.,O
0x46B	quz-BO	killachaw,kil,Qulla puquy,Qul,Q	atipachaw,ati,Hatun puquy,Hat,H	quyllurchaw,quy,Pauqar waray,Pau,P	Ch' askachaw,Ch',ayriwa,ayr,a	Illapachaw,Ill,Aymuray,Aym,A	k'uychichaw,k'u,Inti raymi,Int,I	intichaw,int,Anta Sitwa,Ant,A	killachaw,kil,Qhapaq Sitwa,Qha,Q	atipachaw,ati,Uma raymi,Uma,U	quyllurchaw,quy,Kantaray,Kan,K	Ch' askachaw,Ch',Ayamarq'a,Aya,A	Illapachaw,Ill,Kapaq Raymi,Kap,K
0x46C	nso-ZA	Mošupologo,Moš,Pherekgong,Pher,P	Labobedi,Lbb,Hlakola,Hlak,H	Laboraro,Lbr,Mopitlo,Mop,M	Labone,Lbn,Moranang,Mor,M	Labohlano,Lbh,Mosegamanye,Mos,M	Mokibelo,Mok,Ngoatobošego,Ngwat,N	Lamorena,Lam,Phuphu,Phup,P	Mošupologo,Moš,Phato,Phat,P	Labobedi,Lbb,Lewedi,Lew,L	Laboraro,Lbr,Diphalana,Dip,D	Labone,Lbn,Dibatsela,Dib,D	Labohlano,Lbh,Manthole,Man,M
0x46D	ba-RU	Дүшәмбе,Дш,ғинуар,ғин,ғ	Шишәмбе,Шш,февраль,фев,ф	Шаршамбы,Шр,март,мар,м	Кесаҙна,Кс,апрель,апр,а	Йома,Йм,май,май,м	Шәмбе,Шб,июнь,июн,и	Йәкшәмбе,Йш,июль,июл,и	Дүшәмбе,Дш,август,авг,а	Шишәмбе,Шш,сентябрь,сен,с	Шаршамбы,Шр,октябрь,окт,о	Кесаҙна,Кс,ноябрь,ноя,н	Йома,Йм,декабрь,дек,д
