LCID	Locale	Mon Jan	Tue Feb	Wed Mar	Thu Apr	Fri May	Sat Jun	Sun Jul	Mon Aug	Tue Sep	Wed Oct	Thu Nov	Fri Dec
0x1	ar	Monday,Mon,January,Jan,J	Tuesday,Tue,February,Feb,F	Wednesday,Wed,March,Mar,M	Thursday,Thu,April,Apr,A	Friday,Fri,May,May,M	Saturday,Sat,June,Jun,J	Sunday,Sun,July,Jul,J	Monday,Mon,August,Aug,A	Tuesday,Tue,September,Sep,S	Wednesday,Wed,October,Oct,O	Thursday,Thu,November,Nov,N	Friday,Fri,December,Dec,D
0x2	bg	понеделник,пон,януари,ян,я	вторник,вт,февруари,февр,ф	сряда,ср,март,март,м	четвъртък,четв,април,апр,а	петък,пет,май,май,м	събота,съб,юни,юни,ю	неделя,нед,юли,юли,ю	понеделник,пон,август,авг,а	вторник,вт,септември,септ,с	сряда,ср,октомври,окт,о	четвъртък,четв,ноември,ноември,н	петък,пет,декември,дек,д
0x3	ca	dilluns,dl.,gener,gen,g	dimarts,dt.,febrer,feb,f	dimecres,dc.,març,març,m	dijous,dj.,abril,abr,a	divendres,dv.,maig,maig,m	dissabte,ds.,juny,juny,j	diumenge,dg.,juliol,jul,j	dilluns,dl.,agost,ag,a	dimarts,dt.,setembre,set,s	dimecres,dc.,octubre,oct,o	dijous,dj.,novembre,nov,n	divendres,dv.,desembre,des,d
0x18000004	zh-Hans	星期一,周一,一月,一月,一	星期二,周二,二月,二月,二	星期三,周三,三月,三月,三	星期四,周四,四月,四月,四	星期五,周五,五月,五月,五	星期六,周六,六月,六月,六	星期日,周日,七月,七月,七	星期一,周一,八月,八月,八	星期二,周二,九月,九月,九	星期三,周三,十月,十月,十	星期四,周四,十一月,十一月,十	星期五,周五,十二月,十二月,十
0x5	cs	pondělí,po,leden,1,l	úterý,út,únor,2,ú	středa,st,březen,3,b	čtvrtek,čt,duben,4,d	pátek,pá,květen,5,k	sobota,so,červen,6,č	neděle,ne,červenec,7,č	pondělí,po,srpen,8,s	úterý,út,září,9,z	středa,st,říjen,10,ř	čtvrtek,čt,listopad,11,l	pátek,pá,prosinec,12,p
0x6	da	mandag,ma,januar,jan,j	tirsdag,ti,februar,feb,f	onsdag,on,marts,mar,m	torsdag,to,april,apr,a	fredag,fr,maj,maj,m	lørdag,lø,juni,jun,j	søndag,sø,juli,jul,j	mandag,ma,august,aug,a	tirsdag,ti,september,sep,s	onsdag,on,oktober,okt,o	torsdag,to,november,nov,n	fredag,fr,december,dec,d
0x7	de	Montag,Mo,Januar,Jan,J	Dienstag,Di,Februar,Feb,F	Mittwoch,Mi,März,Mrz,M	Donnerstag,Do,April,Apr,A	Freitag,Fr,Mai,Mai,M	Samstag,Sa,Juni,Jun,J	Sonntag,So,Juli,Jul,J	Montag,Mo,August,Aug,A	Dienstag,Di,September,Sep,S	Mittwoch,Mi,Oktober,Okt,O	Donnerstag,Do,November,Nov,N	Freitag,Fr,Dezember,Dez,D
0x8	el	Δευτέρα,Δευ,Ιανουάριος,Ιαν,Ι	Τρίτη,Τρι,Φεβρουάριος,Φεβ,Φ	Τετάρτη,Τετ,Μάρτιος,Μαρ,Μ	Πέμπτη,Πεμ,Απρίλιος,Απρ,Α	Παρασκευή,Παρ,Μάιος,Μαϊ,Μ	Σάββατο,Σαβ,Ιούνιος,Ιουν,Ι	Κυριακή,Κυρ,Ιούλιος,Ιουλ,Ι	Δευτέρα,Δευ,Αύγουστος,Αυγ,Α	Τρίτη,Τρι,Σεπτέμβριος,Σεπ,Σ	Τετάρτη,Τετ,Οκτώβριος,Οκτ,Ο	Πέμπτη,Πεμ,Νοέμβριος,Νοε,Ν	Παρασκευή,Παρ,Δεκέμβριος,Δεκ,Δ
0x9	en	Monday,Mon,January,Jan,J	Tuesday,Tue,February,Feb,F	Wednesday,Wed,March,Mar,M	Thursday,Thu,April,Apr,A	Friday,Fri,May,May,M	Saturday,Sat,June,Jun,J	Sunday,Sun,July,Jul,J	Monday,Mon,August,Aug,A	Tuesday,Tue,September,Sep,S	Wednesday,Wed,October,Oct,O	Thursday,Thu,November,Nov,N	Friday,Fri,December,Dec,D
0xA	es	lunes,lun,enero,ene,e	martes,mar,febrero,feb,f	miércoles,mié,marzo,mar,m	jueves,jue,abril,abr,a	viernes,vie,mayo,may,m	sábado,sáb,junio,jun,j	domingo,dom,julio,jul,j	lunes,lun,agosto,ago,a	martes,mar,septiembre,sep,s	miércoles,mié,octubre,oct,o	jueves,jue,noviembre,nov,n	viernes,vie,diciembre,dic,d
0xB	fi	maanantai,ma,tammikuu,tammi,t	tiistai,ti,helmikuu,helmi,h	keskiviikko,ke,maaliskuu,maalis,m	torstai,to,huhtikuu,huhti,h	perjantai,pe,toukokuu,touko,t	lauantai,la,kesäkuu,kesä,k	sunnuntai,su,heinäkuu,heinä,h	maanantai,ma,elokuu,elo,e	tiistai,ti,syyskuu,syys,s	keskiviikko,ke,lokakuu,loka,l	torstai,to,marraskuu,marras,m	perjantai,pe,joulukuu,joulu,j
0xC	fr	lundi,lun.,janvier,janv.,j	mardi,mar.,février,févr.,f	mercredi,mer.,mars,mars,m	jeudi,jeu.,avril,avr.,a	vendredi,ven.,mai,mai,m	samedi,sam.,juin,juin,j	dimanche,dim.,juillet,juil.,j	lundi,lun.,août,août,a	mardi,mar.,septembre,sept.,s	mercredi,mer.,octobre,oct.,o	jeudi,jeu.,novembre,nov.,n	vendredi,ven.,décembre,déc.,d
0xD	he	יום שני,יום ב,ינואר,ינו,י	יום שלישי,יום ג,פברואר,פבר,פ	יום רביעי,יום ד,מרץ,מרץ,מ	יום חמישי,יום ה,אפריל,אפר,א	יום שישי,יום ו,מאי,מאי,מ	שבת,שבת,יוני,יונ,י	יום ראשון,יום א,יולי,יול,י	יום שני,יום ב,אוגוסט,אוג,א	יום שלישי,יום ג,ספטמבר,ספט,ס	יום רביעי,יום ד,אוקטובר,אוק,א	יום חמישי,יום ה,נובמבר,נוב,נ	יום שישי,יום ו,דצמבר,דצמ,ד
0xE	hu	hétfő,H,január,jan.,j	kedd,K,február,febr.,f	szerda,Sze,március,márc.,m	csütörtök,Cs,április,ápr.,á	péntek,P,május,máj.,m	szombat,Szo,június,jún.,j	vasárnap,V,július,júl.,j	hétfő,H,augusztus,aug.,a	kedd,K,szeptember,szept.,s	szerda,Sze,október,okt.,o	csütörtök,Cs,november,nov.,n	péntek,P,december,dec.,d
0xF	is	mánudagur,mán.,janúar,jan.,j	þriðjudagur,þri.,febrúar,feb.,f	miðvikudagur,mið.,mars,mar.,m	fimmtudagur,fim.,apríl,apr.,a	föstudagur,fös.,maí,maí,m	laugardagur,lau.,júní,jún.,j	sunnudagur,sun.,júlí,júl.,j	mánudagur,mán.,ágúst,ágú.,á	þriðjudagur,þri.,september,sep.,s	miðvikudagur,mið.,október,okt.,o	fimmtudagur,fim.,nóvember,nóv.,n	föstudagur,fös.,desember,des.,d
0x10	it	lunedì,lun,gennaio,gen,g	martedì,mar,febbraio,feb,f	mercoledì,mer,marzo,mar,m	giovedì,gio,aprile,apr,a	venerdì,ven,maggio,mag,m	sabato,sab,giugno,giu,g	domenica,dom,luglio,lug,l	lunedì,lun,agosto,ago,a	martedì,mar,settembre,set,s	mercoledì,mer,ottobre,ott,o	giovedì,gio,novembre,nov,n	venerdì,ven,dicembre,dic,d
0x14000011	ja	月曜日,月,1月,1,1	火曜日,火,2月,2,2	水曜日,水,3月,3,3	木曜日,木,4月,4,4	金曜日,金,5月,5,5	土曜日,土,6月,6,6	日曜日,日,7月,7,7	月曜日,月,8月,8,8	火曜日,火,9月,9,9	水曜日,水,10月,10,1	木曜日,木,11月,11,1	金曜日,金,12月,12,1
0x1D000012	ko	월요일,월,1월,1,1	화요일,화,2월,2,2	수요일,수,3월,3,3	목요일,목,4월,4,4	금요일,금,5월,5,5	토요일,토,6월,6,6	일요일,일,7월,7,7	월요일,월,8월,8,8	화요일,화,9월,9,9	수요일,수,10월,10,1	목요일,목,11월,11,1	금요일,금,12월,12,1
0x13	nl	maandag,ma,januari,jan,j	dinsdag,di,februari,feb,f	woensdag,wo,maart,mrt,m	donderdag,do,april,apr,a	vrijdag,vr,mei,mei,m	zaterdag,za,juni,jun,j	zondag,zo,juli,jul,j	maandag,ma,augustus,aug,a	dinsdag,di,september,sep,s	woensdag,wo,oktober,okt,o	donderdag,do,november,nov,n	vrijdag,vr,december,dec,d
0x14	no	mandag,ma,januar,jan,j	tirsdag,ti,februar,feb,f	onsdag,on,mars,mar,m	torsdag,to,april,apr,a	fredag,fr,mai,mai,m	lørdag,lø,juni,jun,j	søndag,sø,juli,jul,j	mandag,ma,august,aug,a	tirsdag,ti,september,sep,s	onsdag,on,oktober,okt,o	torsdag,to,november,nov,n	fredag,fr,desember,des,d
0x15	pl	poniedziałek,Pn,styczeń,sty,s	wtorek,Wt,luty,lut,l	środa,Śr,marzec,mar,m	czwartek,Cz,kwiecień,kwi,k	piątek,Pt,maj,maj,m	sobota,So,czerwiec,cze,c	niedziela,N,lipiec,lip,l	poniedziałek,Pn,sierpień,sie,s	wtorek,Wt,wrzesień,wrz,w	środa,Śr,październik,paź,p	czwartek,Cz,listopad,lis,l	piątek,Pt,grudzień,gru,g
0x16	pt	segunda-feira,seg,janeiro,jan,j	terça-feira,ter,fevereiro,fev,f	quarta-feira,qua,março,mar,m	quinta-feira,qui,abril,abr,a	sexta-feira,sex,maio,mai,m	sábado,sáb,junho,jun,j	domingo,dom,julho,jul,j	segunda-feira,seg,agosto,ago,a	terça-feira,ter,setembro,set,s	quarta-feira,qua,outubro,out,o	quinta-feira,qui,novembro,nov,n	sexta-feira,sex,dezembro,dez,d
0x17	rm	glindesdi,gli,schaner,schan,s	mardi,ma,favrer,favr,f	mesemna,me,mars,mars,m	gievgia,gie,avrigl,avr,a	venderdi,ve,matg,matg,m	sonda,so,zercladur,zercl,z	dumengia,du,fanadur,fan,f	glindesdi,gli,avust,avust,a	mardi,ma,settember,sett,s	mesemna,me,october,oct,o	gievgia,gie,november,nov,n	venderdi,ve,december,dec,d
0x18	ro	luni,L,ianuarie,ian.,i	marţi,Ma,februarie,feb.,f	miercuri,Mi,martie,mar.,m	joi,J,aprilie,apr.,a	vineri,V,mai,mai.,m	sâmbătă,S,iunie,iun.,i	duminică,D,iulie,iul.,i	luni,L,august,aug.,a	marţi,Ma,septembrie,sep.,s	miercuri,Mi,octombrie,oct.,o	joi,J,noiembrie,nov.,n	vineri,V,decembrie,dec.,d
0x19	ru	понедельник,Пн,Январь,янв,Я	вторник,Вт,Февраль,фев,Ф	среда,Ср,Март,мар,М	четверг,Чт,Апрель,апр,А	пятница,Пт,Май,май,М	суббота,Сб,Июнь,июн,И	воскресенье,Вс,Июль,июл,И	понедельник,Пн,Август,авг,А	вторник,Вт,Сентябрь,сен,С	среда,Ср,Октябрь,окт,О	четверг,Чт,Ноябрь,ноя,Н	пятница,Пт,Декабрь,дек,Д
0x1A	hr	ponedjeljak,pon,siječanj,sij,s	utorak,uto,veljača,vlj,v	srijeda,sri,ožujak,ožu,o	četvrtak,čet,travanj,tra,t	petak,pet,svibanj,svi,s	subota,sub,lipanj,lip,l	nedjelja,ned,srpanj,srp,s	ponedjeljak,pon,kolovoz,kol,k	utorak,uto,rujan,ruj,r	srijeda,sri,listopad,lis,l	četvrtak,čet,studeni,stu,s	petak,pet,prosinac,pro,p
0x1B	sk	pondelok,po,január,1,j	utorok,ut,február,2,f	streda,st,marec,3,m	štvrtok,št,apríl,4,a	piatok,pi,máj,5,m	sobota,so,jún,6,j	nedeľa,ne,júl,7,j	pondelok,po,august,8,a	utorok,ut,september,9,s	streda,st,október,10,o	štvrtok,št,november,11,n	piatok,pi,december,12,d
0x1C	sq	e hënë,Hën,janar,Jan,j	e martë,Mar,shkurt,Shk,s	e mërkurë,Mër,mars,Mar,m	e enjte,Enj,prill,Pri,p	e premte,Pre,maj,Maj,m	e shtunë,Sht,qershor,Qer,q	e diel,Die,korrik,Kor,k	e hënë,Hën,gusht,Gsh,g	e martë,Mar,shtator,Sht,s	e mërkurë,Mër,tetor,Tet,t	e enjte,Enj,nëntor,Nën,n	e premte,Pre,dhjetor,Dhj,d
0x1D	sv	måndag,må,januari,jan,j	tisdag,ti,februari,feb,f	onsdag,on,mars,mar,m	torsdag,to,april,apr,a	fredag,fr,maj,maj,m	lördag,lö,juni,jun,j	söndag,sö,juli,jul,j	måndag,må,augusti,aug,a	tisdag,ti,september,sep,s	onsdag,on,oktober,okt,o	torsdag,to,november,nov,n	fredag,fr,december,dec,d
0xD00001E	th	จันทร์,จ.,มกราคม,ม.ค.,ม	อังคาร,อ.,กุมภาพันธ์,ก.พ.,ก	พุธ,พ.,มีนาคม,มี.ค.,ม	พฤหัสบดี,พฤ.,เมษายน,เม.ย.,เ	ศุกร์,ศ.,พฤษภาคม,พ.ค.,พ	เสาร์,ส.,มิถุนายน,มิ.ย.,ม	อาทิตย์,อา.,กรกฎาคม,ก.ค.,ก	จันทร์,จ.,สิงหาคม,ส.ค.,ส	อังคาร,อ.,กันยายน,ก.ย.,ก	พุธ,พ.,ตุลาคม,ต.ค.,ต	พฤหัสบดี,พฤ.,พฤศจิกายน,พ.ย.,พ	ศุกร์,ศ.,ธันวาคม,ธ.ค.,ธ
0x1F	tr	Pazartesi,Pzt,Ocak,Oca,O	Salı,Sal,Şubat,Şub,Ş	Çarşamba,Çar,Mart,Mar,M	Perşembe,Per,Nisan,Nis,N	Cuma,Cum,Mayıs,May,M	Cumartesi,Cmt,Haziran,Haz,H	Pazar,Paz,Temmuz,Tem,T	Pazartesi,Pzt,Ağustos,Ağu,A	Salı,Sal,Eylül,Eyl,E	Çarşamba,Çar,Ekim,Eki,E	Perşembe,Per,Kasım,Kas,K	Cuma,Cum,Aralık,Ara,A
0x20	ur	پير,پير,جنوری,جنوری,ج	منگل,منگل,فروری,فروری,ف	بدھ,بدھ,مارچ,مارچ,م	جمعرات,جمعرات,اپریل,اپریل,ا	جمعه,جمعه,مئی,مئی,م	هفته,هفته,جون,جون,ج	اتوار,اتوار,جولائی,جولائی,ج	پير,پير,اگست,اگست,ا	منگل,منگل,ستمبر,ستمبر,س	بدھ,بدھ,اکتوبر,اکتوبر,ا	جمعرات,جمعرات,نومبر,نومبر,ن	جمعه,جمعه,دسمبر,دسمبر,د
0x21	id	Senin,Sen,Januari,Jan,J	Selasa,Sel,Februari,Feb,F	Rabu,Rabu,Maret,Mar,M	Kamis,Kamis,April,Apr,A	Jumat,Jumat,Mei,Mei,M	Sabtu,Sabtu,Juni,Jun,J	Minggu,Minggu,Juli,Jul,J	Senin,Sen,Agustus,Agust,A	Selasa,Sel,September,Sep,S	Rabu,Rabu,Oktober,Okt,O	Kamis,Kamis,Nopember,Nop,N	Jumat,Jumat,Desember,Des,D
0x22	uk	понеділок,Пн,Січень,Січ,С	вівторок,Вт,Лютий,Лют,Л	середа,Ср,Березень,Бер,Б	четвер,Чт,Квітень,Кві,К	п'ятниця,Пт,Травень,Тра,Т	субота,Сб,Червень,Чер,Ч	неділя,Нд,Липень,Лип,Л	понеділок,Пн,Серпень,Сер,С	вівторок,Вт,Вересень,Вер,В	середа,Ср,Жовтень,Жов,Ж	четвер,Чт,Листопад,Лис,Л	п'ятниця,Пт,Грудень,Гру,Г
0x23	be	панядзелак,пн,Студзень,Сту,С	аўторак,аў,Люты,Лют,Л	серада,ср,Сакавік,Сак,С	чацвер,чц,Красавік,Кра,К	пятніца,пт,Май,Май,М	субота,сб,Чэрвень,Чэр,Ч	нядзеля,нд,Ліпень,Ліп,Л	панядзелак,пн,Жнівень,Жні,Ж	аўторак,аў,Верасень,Вер,В	серада,ср,Кастрычнік,Кас,К	чацвер,чц,Лістапад,Ліс,Л	пятніца,пт,Снежань,Сне,С
0x24	sl	ponedeljek,pon,januar,jan,j	torek,tor,februar,feb,f	sreda,sre,marec,mar,m	četrtek,čet,april,apr,a	petek,pet,maj,maj,m	sobota,sob,junij,jun,j	nedelja,ned,julij,jul,j	ponedeljek,pon,avgust,avg,a	torek,tor,september,sep,s	sreda,sre,oktober,okt,o	četrtek,čet,november,nov,n	petek,pet,december,dec,d
0x25	et	esmaspäev,E,jaanuar,jaan,j	teisipäev,T,veebruar,veebr,v	kolmapäev,K,märts,märts,m	neljapäev,N,aprill,apr,a	reede,R,mai,mai,m	laupäev,L,juuni,juuni,j	pühapäev,P,juuli,juuli,j	esmaspäev,E,august,aug,a	teisipäev,T,september,sept,s	kolmapäev,K,oktoober,okt,o	neljapäev,N,november,nov,n	reede,R,detsember,dets,d
0x26	lv	pirmdiena,pr,janvāris,jan,j	otrdiena,ot,februāris,feb,f	trešdiena,tr,marts,mar,m	ceturtdiena,ce,aprīlis,apr,a	piektdiena,pk,maijs,mai,m	sestdiena,se,jūnijs,jūn,j	svētdiena,sv,jūlijs,jūl,j	pirmdiena,pr,augusts,aug,a	otrdiena,ot,septembris,sep,s	trešdiena,tr,oktobris,okt,o	ceturtdiena,ce,novembris,nov,n	piektdiena,pk,decembris,dec,d
0x27	lt	pirmadienis,Pr,sausis,Sau,s	antradienis,An,vasaris,Vas,v	trečiadienis,Tr,kovas,Kov,k	ketvirtadienis,Kt,balandis,Bal,b	penktadienis,Pn,gegužė,Geg,g	šeštadienis,Št,birželis,Bir,b	sekmadienis,Sk,liepa,Lie,l	pirmadienis,Pr,rugpjūtis,Rgp,r	antradienis,An,rugsėjis,Rgs,r	trečiadienis,Tr,spalis,Spl,s	ketvirtadienis,Kt,lapkritis,Lap,l	penktadienis,Pn,gruodis,Grd,g
0x28	tg	Душанбе,Дш,Январ,Янв,Я	Сешанбе,Сш,Феврал,Фев,Ф	Чоршанбе,Чш,Март,Мар,М	Панҷшанбе,Пш,Апрел,Апр,А	Ҷумъа,Ҷм,Май,Май,М	Шанбе,Шн,Июн,Июн,И	Яш,Яш,Июл,Июл,И	Душанбе,Дш,Август,Авг,А	Сешанбе,Сш,Сентябр,Сен,С	Чоршанбе,Чш,Октябр,Окт,О	Панҷшанбе,Пш,Ноябр,Ноя,Н	Ҷумъа,Ҷм,Декабр,Дек,Д
0x29	fa	دوشنبه,دوشنبه,ژانويه,ژانويه,ژ	سه شنبه,سه شنبه,فوريه,فوريه,ف	چهارشنبه,چهارشنبه,مارس,مارس,م	پنجشنبه,پنجشنبه,آوريل,آوريل,آ	جمعه,جمعه,مى,مى,م	شنبه,شنبه,ژوئن,ژوئن,ژ	يكشنبه,يكشنبه,ژوئيه,ژوئيه,ژ	دوشنبه,دوشنبه,اوت,اوت,ا	سه شنبه,سه شنبه,سپتامبر,سپتامبر,س	چهارشنبه,چهارشنبه,اُكتبر,اُكتبر,ا	پنجشنبه,پنجشنبه,نوامبر,نوامبر,ن	جمعه,جمعه,دسامبر,دسامبر,د
0x2A	vi	Thứ Hai,Hai,Tháng Giêng,Thg1,T	Thứ Ba,Ba,Tháng Hai,Thg2,T	Thứ Tư,Tư,Tháng Ba,Thg3,T	Thứ Năm,Năm,Tháng Tư,Thg4,T	Thứ Sáu,Sáu,Tháng Năm,Thg5,T	Thứ Bảy,Bảy,Tháng Sáu,Thg6,T	Chủ Nhật,CN,Tháng Bảy,Thg7,T	Thứ Hai,Hai,Tháng Tám,Thg8,T	Thứ Ba,Ba,Tháng Chín,Thg9,T	Thứ Tư,Tư,Tháng Mười,Thg10,T	Thứ Năm,Năm,Tháng Mười Một,Thg11,T	Thứ Sáu,Sáu,Tháng Mười Hai,Thg12,T
0x2B	hy	Երկուշաբթի,Երկ,Հունվար,ՀՆՎ,Հ	Երեքշաբթի,Երք,Փետրվար,ՓՏՎ,Փ	Չորեքշաբթի,Չրք,Մարտ,ՄՐՏ,Մ	Հինգշաբթի,Հնգ,Ապրիլ,ԱՊՐ,Ա	ՈՒրբաթ,ՈՒր,Մայիս,ՄՅՍ,Մ	Շաբաթ,Շբթ,Հունիս,ՀՆՍ,Հ	Կիրակի,Կիր,Հուլիս,ՀԼՍ,Հ	Երկուշաբթի,Երկ,Օգոստոս,ՕԳՍ,Օ	Երեքշաբթի,Երք,Սեպտեմբեր,ՍԵՊ,Ս	Չորեքշաբթի,Չրք,Հոկտեմբեր,ՀՈԿ,Հ	Հինգշաբթի,Հնգ,Նոյեմբեր,ՆՈՅ,Ն	ՈՒրբաթ,ՈՒր,Դեկտեմբեր,ԴԵԿ,Դ
0x2C	az	Bazar ertəsi,Be,Yanvar,Yan,Y	Çərşənbə axşamı,Ça,Fevral,Fev,F	Çərşənbə,Ç,Mart,Mar,M	Cümə axşamı,Ca,Aprel,Apr,A	Cümə,C,May,May,M	Şənbə,Ş,İyun,İyun,İ	Bazar,B,İyul,İyul,İ	Bazar ertəsi,Be,Avgust,Avg,A	Çərşənbə axşamı,Ça,Sentyabr,Sen,S	Çərşənbə,Ç,Oktyabr,Okt,O	Cümə axşamı,Ca,Noyabr,Noy,N	Cümə,C,Dekabr,Dek,D
0x2D	eu	astelehena,al.,urtarrila,urt.,u	asteartea,as.,otsaila,ots.,o	asteazkena,az.,martxoa,mar.,m	osteguna,og.,apirila,api.,a	ostirala,or.,maiatza,mai.,m	larunbata,lr.,ekaina,eka.,e	igandea,ig.,uztaila,uzt.,u	astelehena,al.,abuztua,abu.,a	asteartea,as.,iraila,ira.,i	asteazkena,az.,urria,urr.,u	osteguna,og.,azaroa,aza.,a	ostirala,or.,abendua,abe.,a
0x2E	hsb	póndźela,pón,januar,jan,j	wutora,wut,februar,feb,f	srjeda,srj,měrc,měr,m	štwórtk,štw,apryl,apr,a	pjatk,pja,meja,mej,m	sobota,sob,junij,jun,j	njedźela,nje,julij,jul,j	póndźela,pón,awgust,awg,a	wutora,wut,september,sep,s	srjeda,srj,oktober,okt,o	štwórtk,štw,nowember,now,n	pjatk,pja,december,dec,d
0x2F	mk	понеделник,пон,јануари,јан,ј	вторник,втр,февруари,фев,ф	среда,срд,март,мар,м	четврток,чет,април,апр,а	петок,пет,мај,мај,м	сабота,саб,јуни,јун,ј	недела,нед,јули,јул,ј	понеделник,пон,август,авг,а	вторник,втр,септември,сеп,с	среда,срд,октомври,окт,о	четврток,чет,ноември,ное,н	петок,пет,декември,дек,д
0x30	st	Monday,Mon,January,Jan,J	Tuesday,Tue,February,Feb,F	Wednesday,Wed,March,Mar,M	Thursday,Thu,April,Apr,A	Friday,Fri,May,May,M	Saturday,Sat,June,Jun,J	Sunday,Sun,July,Jul,J	Monday,Mon,August,Aug,A	Tuesday,Tue,September,Sep,S	Wednesday,Wed,October,Oct,O	Thursday,Thu,November,Nov,N	Friday,Fri,December,Dec,D
0x31	ts	Monday,Mon,January,Jan,J	Tuesday,Tue,February,Feb,F	Wednesday,Wed,March,Mar,M	Thursday,Thu,April,Apr,A	Friday,Fri,May,May,M	Saturday,Sat,June,Jun,J	Sunday,Sun,July,Jul,J	Monday,Mon,August,Aug,A	Tuesday,Tue,September,Sep,S	Wednesday,Wed,October,Oct,O	Thursday,Thu,November,Nov,N	Friday,Fri,December,Dec,D
0x32	tn	Mosupologo,Mos.,Ferikgong,Fer.,F	Labobedi,Lbd.,Tlhakole,Tlhak.,T	Laboraro,Lbr.,Mopitloe,Mop.,M	Labone,Lbn.,Moranang,Mor.,M	Labotlhano,Lbt.,Motsheganong,Motsh.,M	Lamatlhatso,Lmt.,Seetebosigo,Seet.,S	Latshipi,Ltp.,Phukwi,Phukw.,P	Mosupologo,Mos.,Phatwe,Phatw.,P	Labobedi,Lbd.,Lwetse,Lwets.,L	Laboraro,Lbr.,Diphalane,Diph.,D	Labone,Lbn.,Ngwanatsele,Ngwan.,N	Labotlhano,Lbt.,Sedimothole,Sed.,S
0x33	ve	Monday,Mon,January,Jan,J	Tuesday,Tue,February,Feb,F	Wednesday,Wed,March,Mar,M	Thursday,Thu,April,Apr,A	Friday,Fri,May,May,M	Saturday,Sat,June,Jun,J	Sunday,Sun,July,Jul,J	Monday,Mon,August,Aug,A	Tuesday,Tue,September,Sep,S	Wednesday,Wed,October,Oct,O	Thursday,Thu,November,Nov,N	Friday,Fri,December,Dec,D
0x34	xh	uMvulo,Mon,Mqungu,Jan,M	uLwesibini,Tue,Mdumba,Feb,M	uLwesithathu,Wed,Kwindla,Mar,K	uLwesine,Thu,Tshazimpuzi,Apr,T	uLwesihlanu,Fri,Canzibe,May,C	uMgqibelo,Sat,Silimela,Jun,S	iCawa,Sun,Khala,Jul,K	uMvulo,Mon,Thupha,Aug,T	uLwesibini,Tue,Msintsi,Sep,M	uLwesithathu,Wed,Dwarha,Oct,D	uLwesine,Thu,Nkanga,Nov,N	uLwesihlanu,Fri,Mnga,Dec,M
0x35	zu	uMsombuluko,Mso.,uMasingana,Mas.,u	uLwesibili,Bi.,uNhlolanja,Nhlo.,u	uLwesithathu,Tha.,uNdasa,Nda.,u	uLwesine,Ne.,uMbaso,Mba.,u	uLwesihlanu,Hla.,uNhlaba,Nhla.,u	uMgqibelo,Mgq.,uNhlangulana,Nhlang.,u	iSonto,Son.,uNtulikazi,Ntu.,u	uMsombuluko,Mso.,uNcwaba,Ncwa.,u	uLwesibili,Bi.,uMandulo,Man.,u	uLwesithathu,Tha.,uMfumfu,Mfu.,u	uLwesine,Ne.,uLwezi,Lwe.,u	uLwesihlanu,Hla.,uZibandlela,Zib.,u
0x36	af	Maandag,Maan,Januarie,Jan,J	Dinsdag,Dins,Februarie,Feb,F	Woensdag,Woen,Maart,Mar,M	Donderdag,Dond,April,Apr,A	Vrydag,Vry,Mei,Mei,M	Saterdag,Sat,Junie,Jun,J	Sondag,Son,Julie,Jul,J	Maandag,Maan,Augustus,Aug,A	Dinsdag,Dins,September,Sep,S	Woensdag,Woen,Oktober,Okt,O	Donderdag,Dond,November,Nov,N	Vrydag,Vry,Desember,Des,D
0x37	ka	ორშაბათი,ორშაბათი,იანვარი,იან,ი	სამშაბათი,სამშაბათი,თებერვალი,თებ,თ	ოთხშაბათი,ოთხშაბათი,მარტი,მარ,მ	ხუთშაბათი,ხუთშაბათი,აპრილი,აპრ,ა	პარასკევი,პარასკევი,მაისი,მაის,მ	შაბათი,შაბათი,ივნისი,ივნ,ი	კვირა,კვირა,ივლისი,ივლ,ი	ორშაბათი,ორშაბათი,აგვისტო,აგვ,ა	სამშაბათი,სამშაბათი,სექტემბერი,სექ,ს	ოთხშაბათი,ოთხშაბათი,ოქტომბერი,ოქტ,ო	ხუთშაბათი,ხუთშაბათი,ნოემბერი,ნოემ,ნ	პარასკევი,პარასკევი,დეკემბერი,დეკ,დ
0x38	fo	mánadagur,mán,januar,jan,j	týsdagur,týs,februar,feb,f	mikudagur,mik,mars,mar,m	hósdagur,hós,apríl,apr,a	fríggjadagur,frí,mai,mai,m	leygardagur,leyg,juni,jun,j	sunnudagur,sun,juli,jul,j	mánadagur,mán,august,aug,a	týsdagur,týs,september,sep,s	mikudagur,mik,oktober,okt,o	hósdagur,hós,november,nov,n	fríggjadagur,frí,desember,des,d
0x2000039	hi	सोमवार,सोम.,जनवरी,जनवरी,ज	मंगलवार,मंगल.,फरवरी,फरवरी,फ	बुधवार,बुध.,मार्च,मार्च,म	गुरुवार,गुरु.,अप्रैल,अप्रैल,अ	शुक्रवार,शुक्र.,मई,मई,म	शनिवार,शनि.,जून,जून,ज	रविवार,रवि.,जुलाई,जुलाई,ज	सोमवार,सोम.,अगस्त,अगस्त,अ	मंगलवार,मंगल.,सितम्बर,सितम्बर,स	बुधवार,बुध.,अक्तूबर,अक्तूबर,अ	गुरुवार,गुरु.,नवम्बर,नवम्बर,न	शुक्रवार,शुक्र.,दिसम्बर,दिसम्बर,द
