lcid	locale	int_curr_symbol	currency_symbol	mon_decimal_point	mon_thousands_sep	mon_grouping	positive_sign	negative_sign	int_frac_digits	frac_digits	p_cs_precedes	p_sep_by_space	n_cs_precedes	n_sep_by_space	p_sign_posn	n_sign_posn	decimal_point	thousands_sep	grouping
0x0038	fo	DKK	kr	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x0039	hi	INR	₹	.	,	[3, 2, 0]		-	2	2	1	0	1	1	4	4	.	,	[3, 2, 0]
0x003A	mt	EUR	€	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x003B	se	NOK	kr	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x003C	ga	EUR	€	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x003E	ms	MYR	RM	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x003F	kk	KZT	₸	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0040	ky	KGS	сом	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0041	sw	KES	Ksh	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x0042	tk	TMT	m.	,	 	[3, 0]		-	2	2	0	0	0	0	1	1	,	 	[3, 0]
0x0043	uz	UZS	so‘m	,	 	[3, 0]		-	0	0	0	1	0	1	1	1	,	 	[3, 0]
0x0044	tt	RUB	?	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0045	bn	BDT	৳	.	,	[3, 2, 0]		-	2	2	0	0	0	0	1	1	.	,	[3, 2, 0]
0x0046	pa	INR	₹	.	,	[3, 2, 0]		-	2	2	1	1	1	1	4	4	.	,	[3, 2, 0]
0x0047	gu	INR	₹	.	,	[3, 2, 0]		-	2	2	1	0	1	1	4	4	.	,	[3, 2, 0]
0x0048	or	INR	₹	.	,	[3, 2, 0]		-	2	2	1	1	1	1	4	4	.	,	[3, 2, 0]
0x0049	ta	INR	₹	.	,	[3, 2, 0]		-	2	2	1	1	1	1	4	4	.	,	[3, 2, 0]
